TICKER.EXCHANGECODE,TICKER,EXCHANGECODE,ASK,BID,AVG,SUPPLY,DEMAND,TRADED
CQT.CI1,CQT,CI1,320000.0,100000.0,150000.0,2.0,2.0,1.0
CST.NC2,CST,NC2,,,2912.71,0.0,0.0,0.0
DIS.CI1,DIS,CI1,8800.0,4700.0,7700.0,49.0,2.0,10.0
FC.IC1,FC,IC1,5460.0,4210.0,4200.0,6.0,2168.0,17.0
FET.CI2,FET,CI2,,,1610.85,0.0,0.0,0.0
FIM.CI2,FIM,CI2,4000.0,,4000.0,20.0,0.0,11.0
HAB.NC1,HAB,NC1,117000.0,,118000.0,48.0,0.0,5.0
KRE.NC1,KRE,NC1,35000.0,,40000.0,135.0,0.0,
TCL.NC2,TCL,NC2,3500.0,,1903.9,20.0,0.0,0.0
VG.CI2,VG,CI2,5000.0,,3200.0,10.0,0.0,2.0
HOP.NC1,HOP,NC1,2960.0,2600.0,2960.0,3471.0,3411.0,8.0
AFP.PP30D_AI1,AFP,PP30D_AI1,,,134241.84,,,0.0
AFP.PP30D_CI1,AFP,PP30D_CI1,,,134241.84,,,0.0
AFP.PP7D_IC1,AFP,PP7D_IC1,,,134241.84,,,0.0
DCL.PP7D_UNIVERSE,DCL,PP7D_UNIVERSE,,,6407.286632478632,,,21.0
FIR.PP7D_NC1,FIR,PP7D_NC1,,,969000.0,,,0.0
GC.PP30D_NC1,GC,PP30D_NC1,,,310.94049550323655,,,563.0
OVE.PP7D_UNIVERSE,OVE,PP7D_UNIVERSE,,,135.4162513539364,,,5638.0
ROM.PP30D_UNIVERSE,ROM,PP30D_UNIVERSE,,,4212.88441316377,,,83.0
TRU.PP7D_AI1,TRU,PP7D_AI1,,,494.2384264158337,,,729.0
TRS.PP30D_AI1,TRS,PP30D_AI1,,,188528.635,,,0.0
TRS.PP7D_CI1,TRS,PP7D_CI1,,,100147.41,,,0.0
TS.PP7D_NC1,TS,PP7D_NC1,,,100.035,,,13.0
W.PP7D_AI1,W,PP7D_AI1,,,19996.26109859155,,,51.0
BR1.AI1,BR1,AI1,949000.0,750000.0,940000.0,17.0,6.0,1.0
DA.NC1,DA,NC1,,50000.0,50000.0,0.0,52.0,5.0
NCS.AI1,NCS,AI1,98.0,41.0,80.76,59815.0,58066.0,50.0
ETC.AI1,ETC,AI1,24000.0,,24000.0,214.0,0.0,2.0
I.CI1,I,CI1,950.0,511.0,511.0,1531.0,3629.0,6.0
CF.IC1,CF,IC1,7000.0,5510.0,7000.0,416.0,1120.0,5.0
BTA.AI1,BTA,AI1,1500.0,1370.0,1780.0,1022.0,699.0,5.0
CLI.NC1,CLI,NC1,240.0,200.0,240.0,22339.0,5099.0,300.0
CBM.NC2,CBM,NC2,69900.0,,29521.83,5.0,0.0,0.0
OS.NC2,OS,NC2,,,30207.77,0.0,0.0,0.0
CRU.NC2,CRU,NC2,,,139245.94,0.0,0.0,0.0
CBL.IC1,CBL,IC1,100000.0,91000.0,91000.0,284.0,100.0,3.0
ACS.NC2,ACS,NC2,124000.0,,74556.7,1.0,0.0,0.0
NFI.CI2,NFI,CI2,20.0,8.0,15.0,1000.0,1000.0,0.0
ADR.NC1,ADR,NC1,120000.0,82000.0,82000.0,44.0,127.0,1.0
AFP.NC1,AFP,NC1,,,30000.0,0.0,0.0,0.0
ANZ.IC1,ANZ,IC1,,,70600.55,0.0,0.0,0.0
